"WASTE MANAGEMENT OF ARIZONA, INC.",PHOENIX,AZ
REDBURN TIRE COMPANY,PHOENIX,AZ
CREATIVE TESTING SOLUTIONS,TEMPE,AZ
CYTEC ENGINEERED MATERIALS INC.,TEMPE,AZ
"SMARTHEALTH, INC.",PHOENIX,AZ
"AMERICAN TRAFFIC SOLUTIONS CONSOLIDATED, L.L.C.",MESA,AZ
OXFORD LIFE INSURANCE COMPANY INC,PHOENIX,AZ
"PARADIGM PRECISION HOLDINGS, LLC",TEMPE,AZ
THE TECH GROUP INC,SCOTTSDALE,AZ
KALIL BOTTLING CO,TUCSON,AZ
MAYO CLINIC ARIZONA,SCOTTSDALE,AZ
DBL DISTRIBUTING LLC,SCOTTSDALE,AZ
"REPUBLIC SERVICES OF FLORIDA LP, INC.",PHOENIX,AZ
COMTECH EF DATA CORP.,TEMPE,AZ
EPCOR USA INC.,PHOENIX,AZ
"ASPECT SOFTWARE, INC.",PHOENIX,AZ
WILDFLOWER BREAD COMPANY,SCOTTSDALE,AZ
"JAVINE VENTURES, INC.",PHOENIX,AZ
"TROXELL COMMUNICATIONS, INC.",PHOENIX,AZ
TXL HOLDING CORPORATION,PHOENIX,AZ
ISOLA USA CORP.,CHANDLER,AZ
YUMA CABLEVISION INC,YUMA,AZ
"GIANT INDUSTRIES, INC.",TEMPE,AZ
"SARGENT AEROSPACE & DEFENSE, LLC",TUCSON,AZ
LASERMASTERS LLC,PHOENIX,AZ
"PHC-LAKE HAVASU, INC.",LAKE HAVASU CITY,AZ
ARIZONA DENTAL INSURANCE SERVICE INC,GLENDALE,AZ
"STRYKER SUSTAINABILITY SOLUTIONS, INC.",TEMPE,AZ
MTD SOUTHWEST INC,TEMPE,AZ
"ST. LUKE'S MEDICAL CENTER, LP",PHOENIX,AZ
"ARIZONA ELECTRIC POWER COOPERATIVE, INC.",BENSON,AZ
"MOON VALLEY NURSERY, INC.",PHOENIX,AZ
"ALLIED WASTE INDUSTRIES (ARIZONA), INC.",SCOTTSDALE,AZ
"UNS ELECTRIC, INC.",TUCSON,AZ
"PLEXUS HOLDINGS, INC.",SCOTTSDALE,AZ
SUMCO PHOENIX CORPORATION,PHOENIX,AZ
"MCLANE/SUNWEST, INC.",GOODYEAR,AZ
VANTAGE MOBILITY INTERNATIONAL LLC,PHOENIX,AZ
"COPPER STATE BOLT & NUT COMPANY, INC.",PHOENIX,AZ
TUBA CITY REGIONAL HEALTHCARE CORPORATION,TUBA CITY,AZ
SUN HEALTH CORPORATION,SURPRISE,AZ
SAGICOR LIFE INSURANCE COMPANY,SCOTTSDALE,AZ
"MOUNTAIN VISTA MEDICAL CENTER, L.P.",MESA,AZ
VIXXO CORPORATION,SCOTTSDALE,AZ
"TAYLOR FARMS SOUTHWEST, INC.",TOLLESON,AZ
"PCT INTERNATIONAL, INC.",MESA,AZ
"CAFE VALLEY, INC.",PHOENIX,AZ
"CRAFCO, INC.",CHANDLER,AZ
TELECOMMUNICATIONS MANAGEMENT LLC,PHOENIX,AZ
ALLIED WASTE SERVICES OF MASSACHUSETTS LLC,SCOTTSDALE,AZ
"RADIALL USA, INC.",TEMPE,AZ
AMTEL CONSULTING LLC,TUCSON,AZ
SUMMIT HEALTH CARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ
"DISTRICT MEDICAL GROUP, INC.",PHOENIX,AZ
"BIOCARE, INC.",TEMPE,AZ
THE ANTIGUA GROUP INC,PEORIA,AZ
"FOUNDERS HEALTHCARE, L.L.C.",PHOENIX,AZ
ENGHOUSE INTERACTIVE INC.,PHOENIX,AZ
"ACUMEN FISCAL AGENT, L.L.C.",MESA,AZ
"FAIRMONT HOMES, LLC",PHOENIX,AZ
ANDERSON SCHALLER INC,PHOENIX,AZ
LUTHERAN HEART HOSPITAL,MESA,AZ
"DATEPAC, LLC",YUMA,AZ
"ROOFING WHOLESALE CO., INC.",PHOENIX,AZ
AMPHENOL OPTIMIZE MANUFACTURING CO.,NOGALES,AZ
"SWCA, INCORPORATED",PHOENIX,AZ
ABRAZO WEST CAMPUS,GOODYEAR,AZ
"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS, LLC",TUCSON,AZ
"MITEL TECHNOLOGIES, INC.",MESA,AZ
"CYRACOM INTERNATIONAL, INC.",TUCSON,AZ
GOULD ELECTRONICS INC.,CHANDLER,AZ
VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ
"MOON VALLEY NURSERY, LLC",PHOENIX,AZ
"ISAGENIX INTERNATIONAL, LLC",GILBERT,AZ
"VENSURE HR, INC.",CHANDLER,AZ
"MICREL, LLC",CHANDLER,AZ
"ASM AMERICA, INC.",PHOENIX,AZ
NAVAPACHE REGIONAL MEDICAL CENTER,SHOW LOW,AZ
"HEALTH NET OF ARIZONA, INC.",TEMPE,AZ
ARIZONA WATER COMPANY,PHOENIX,AZ
"WESTERN REFINING TERMINALS, LLC",TEMPE,AZ
"SOUTHERN GLAZER'S WINE AND SPIRITS OF ARIZONA, LLC",PHOENIX,AZ
"AMERICAN REFRIGERATION SUPPLIES, INC.",PHOENIX,AZ
TRANSOURCE SERVICES CORP.,PHOENIX,AZ
"MODERN INDUSTRIES, INC.",PHOENIX,AZ
"FRONTIER TECHNOLOGY, LLC",TEMPE,AZ
"MICROAGE, L.L.C.",TEMPE,AZ
"CRA, LLC",SCOTTSDALE,AZ
UNIVERSAL AVIONICS SYSTEMS CORPORATION,TUCSON,AZ
"INTEGRATED CABLE ASSEMBLY HOLDINGS, INC.",TUCSON,AZ
"NEW LEGEND, INC.",PHOENIX,AZ
